option,rate,run,window,timeout_s,ack_error,data_error,ack_loss,data_loss,completion_time_s
5,85,1,5,0.2,0.0,0.0,0.0,0.85,6.773148
5,85,2,5,0.2,0.0,0.0,0.0,0.85,8.057153
5,85,3,5,0.2,0.0,0.0,0.0,0.85,10.000000
5,85,4,5,0.2,0.0,0.0,0.0,0.85,10.000000
5,85,5,5,0.2,0.0,0.0,0.0,0.85,7.138660
5,90,1,5,0.2,0.0,0.0,0.0,0.9,9.800050
5,90,2,5,0.2,0.0,0.0,0.0,0.9,10.000000
5,90,3,5,0.2,0.0,0.0,0.0,0.9,10.000000
5,90,4,5,0.2,0.0,0.0,0.0,0.9,10.000000
5,90,5,5,0.2,0.0,0.0,0.0,0.9,10.000000
5,95,1,5,0.2,0.0,0.0,0.0,0.95,10.000000
5,95,2,5,0.2,0.0,0.0,0.0,0.95,10.000000
5,95,3,5,0.2,0.0,0.0,0.0,0.95,10.000000
5,95,4,5,0.2,0.0,0.0,0.0,0.95,10.000000
5,95,5,5,0.2,0.0,0.0,0.0,0.95,10.000000
